,index,code_commune,commune,dep
0,0,01001,L'Abergement-Clémenciat,01
1,33,01002,L'Abergement-de-Varey,01
2,57,01004,Ambérieu-en-Bugey,01
3,151,01005,Ambérieux-en-Dombes,01
4,195,01006,Ambléon,01
5,207,01007,Ambronay,01
6,252,01008,Ambutrix,01
7,289,01009,Andert-et-Condon,01
8,311,01010,Anglefort,01
9,344,01011,Apremont,01
10,368,01012,Aranc,01
11,388,01013,Arandas,01
12,398,01014,Arbent,01
13,437,01015,Arboys en Bugey,01
14,470,01016,Arbigny,01
15,491,01017,Argis,01
16,510,01019,Armix,01
17,511,01021,Ars-sur-Formans,01
18,553,01022,Artemare,01
19,587,01023,Asnières-sur-Saône,01
20,591,01024,Attignat,01
21,643,01025,Bâgé-Dommartin,01
22,701,01026,Bâgé-le-Châtel,01
23,730,01027,Balan,01
24,774,01028,Baneins,01
25,800,01029,Beaupont,01
26,824,01030,Beauregard,01
27,864,01031,Bellignat,01
28,927,01032,Béligneux,01
29,973,01033,Valserhône,01
30,1027,01034,Belley,01
31,1095,01035,Belleydoux,01
32,1117,01036,Valromey-sur-Séran,01
33,1149,01037,Bénonces,01
34,1165,01038,Bény,01
35,1199,01039,Béon,01
36,1222,01040,Béréziat,01
37,1243,01041,Bettant,01
38,1279,01042,Bey,01
39,1310,01043,Beynost,01
40,1375,01044,Billiat,01
41,1405,01045,Birieux,01
42,1426,01046,Biziat,01
43,1459,01047,Blyes,01
44,1496,01049,La Boisse,01
45,1551,01050,Boissey,01
46,1571,01051,Bolozon,01
47,1576,01052,Bouligneux,01
48,1594,01053,Bourg-en-Bresse,01
49,1745,01054,Bourg-Saint-Christophe,01
50,1787,01056,Boyeux-Saint-Jérôme,01
51,1806,01057,Boz,01
52,1827,01058,Brégnier-Cordon,01
53,1858,01060,Brénod,01
54,1880,01061,Brens,01
55,1918,01062,Bressolles,01
56,1950,01063,Brion,01
57,1983,01064,Briord,01
58,2018,01065,Buellas,01
59,2062,01066,La Burbanche,01
60,2071,01067,Ceignes,01
61,2085,01068,Cerdon,01
62,2114,01069,Certines,01
63,2161,01071,Cessy,01
64,2213,01072,Ceyzériat,01
65,2274,01073,Ceyzérieu,01
66,2305,01074,Chalamont,01
67,2348,01075,Chaleins,01
68,2389,01076,Chaley,01
69,2396,01077,Challes-la-Montagne,01
70,2412,01078,Challex,01
71,2450,01079,Champagne-en-Valromey,01
72,2477,01080,Champdor-Corcelles,01
73,2500,01081,Champfromier,01
74,2532,01082,Chanay,01
75,2554,01083,Chaneins,01
76,2590,01084,Chanoz-Châtenay,01
77,2624,01085,La Chapelle-du-Châtelard,01
78,2639,01087,Charix,01
79,2660,01088,Charnoz-sur-Ain,01
80,2705,01089,Château-Gaillard,01
81,2740,01090,Châtenay,01
82,2760,01092,Châtillon-la-Palud,01
83,2801,01093,Châtillon-sur-Chalaronne,01
84,2854,01094,Chavannes-sur-Reyssouze,01
85,2873,01095,Nivigne et Suran,01
86,2898,01096,Chaveyriat,01
87,2930,01098,Chazey-Bons,01
88,2965,01099,Chazey-sur-Ain,01
89,3007,01100,Cheignieu-la-Balme,01
90,3014,01101,Chevillard,01
91,3025,01102,Chevroux,01
92,3052,01103,Chevry,01
93,3099,01104,Chézery-Forens,01
94,3123,01105,Civrieux,01
95,3177,01106,Cize,01
96,3188,01107,Cleyzieu,01
97,3200,01108,Coligny,01
98,3235,01109,Collonges,01
99,3274,01110,Colomieu,01
100,3288,01111,Conand,01
101,3294,01112,Condamine,01
102,3317,01113,Condeissiat,01
103,3346,01114,Confort,01
104,3380,01115,Confrançon,01
105,3415,01116,Contrevoz,01
106,3438,01117,Conzieu,01
107,3448,01118,Corbonod,01
108,3473,01121,Corlier,01
109,3479,01123,Cormoranche-sur-Saône,01
110,3518,01124,Cormoz,01
111,3543,01125,Corveissiat,01
112,3565,01127,Courmangoux,01
113,3590,01128,Courtes,01
114,3604,01129,Crans,01
115,3621,01130,Bresse Vallons,01
116,3665,01133,Cressin-Rochefort,01
117,3687,01134,Crottet,01
118,3729,01135,Crozet,01
119,3776,01136,Cruzilles-lès-Mépillat,01
120,3811,01138,Culoz,01
121,3850,01139,Curciat-Dongalon,01
122,3865,01140,Curtafond,01
123,3902,01141,Cuzieu,01
124,3927,01142,Dagneux,01
125,3978,01143,Divonne-les-Bains,01
126,4029,01145,Dompierre-sur-Veyle,01
127,4066,01146,Dompierre-sur-Chalaronne,01
128,4091,01147,Domsure,01
129,4112,01148,Dortan,01
130,4148,01149,Douvres,01
131,4187,01150,Drom,01
132,4201,01151,Druillat,01
133,4234,01152,Échallon,01
134,4260,01153,Échenevex,01
135,4299,01155,Évosges,01
136,4311,01156,Faramans,01
137,4345,01157,Fareins,01
138,4390,01158,Farges,01
139,4420,01159,Feillens,01
140,4467,01160,Ferney-Voltaire,01
141,4540,01162,Flaxieu,01
142,4550,01163,Foissiat,01
143,4588,01165,Francheleins,01
144,4633,01166,Frans,01
145,4682,01167,Garnerans,01
146,4709,01169,Genouilleux,01
147,4741,01170,Béard-Géovreissiat,01
148,4774,01171,Géovreisset,01
149,4807,01173,Gex,01
150,4869,01174,Giron,01
151,4887,01175,Gorrevod,01
152,4909,01177,Grand-Corent,01
153,4925,01179,Grièges,01
154,4967,01180,Grilly,01
155,4993,01181,Groissiat,01
156,5026,01183,Guéreins,01
157,5067,01184,Hautecourt-Romanèche,01
158,5099,01185,Plateau d'Hauteville,01
159,5136,01187,Haut Valromey,01
160,5162,01188,Illiat,01
161,5189,01189,Injoux-Génissiat,01
162,5225,01190,Innimond,01
163,5230,01191,Izenave,01
164,5242,01192,Izernore,01
165,5288,01193,Izieu,01
166,5299,01194,Jassans-Riottier,01
167,5357,01195,Jasseron,01
168,5401,01196,Jayat,01
169,5432,01197,Journans,01
170,5457,01198,Joyeux,01
171,5476,01199,Jujurieux,01
172,5523,01200,Labalme,01
173,5536,01202,Lagnieu,01
174,5590,01203,Laiz,01
175,5632,01204,Le Poizat-Lalleyriat,01
176,5660,01206,Lantenay,01
177,5676,01207,Lapeyrouse,01
178,5699,01208,Lavours,01
179,5710,01209,Léaz,01
180,5740,01210,Lélex,01
181,5754,01211,Lent,01
182,5797,01212,Lescheroux,01
183,5821,01213,Leyment,01
184,5860,01214,Leyssard,01
185,5871,01215,Surjoux-Lhopital,01
186,5878,01216,Lhuis,01
187,5900,01219,Lompnas,01
188,5911,01224,Loyettes,01
189,5952,01225,Lurcy,01
190,5978,01227,Magnieu,01
191,6006,01228,Maillat,01
192,6033,01229,Malafretaz,01
193,6070,01230,Mantenay-Montlin,01
194,6086,01231,Manziat,01
195,6126,01232,Marboz,01
196,6167,01233,Marchamp,01
197,6175,01234,Marignieu,01
198,6187,01235,Marlieux,01
199,6214,01236,Marsonnas,01
200,6245,01237,Martignat,01
201,6285,01238,Massieux,01
202,6334,01239,Massignieu-de-Rives,01
203,6365,01240,Matafelon-Granges,01
204,6396,01241,Meillonnas,01
205,6436,01242,Mérignat,01
206,6447,01243,Messimy-sur-Saône,01
207,6489,01244,Meximieux,01
208,6550,01245,Bohas-Meyriat-Rignat,01
209,6588,01246,Mézériat,01
210,6633,01247,Mijoux,01
211,6655,01248,Mionnay,01
212,6705,01249,Miribel,01
213,6770,01250,Misérieux,01
214,6818,01252,Mogneneins,01
215,6848,01254,Montagnat,01
216,6896,01255,Montagnieu,01
217,6916,01257,Montanges,01
218,6939,01258,Montceaux,01
219,6980,01259,Montcet,01
220,7008,01260,Le Montellier,01
221,7026,01261,Monthieux,01
222,7059,01262,Montluel,01
223,7143,01263,Montmerle-sur-Saône,01
224,7200,01264,Montracol,01
225,7241,01265,Montréal-la-Cluse,01
226,7284,01266,Montrevel-en-Bresse,01
227,7332,01267,Nurieux-Volognat,01
228,7367,01268,Murs-et-Gélignieux,01
229,7386,01269,Nantua,01
230,7429,01272,Neuville-les-Dames,01
231,7461,01273,Neuville-sur-Ain,01
232,7505,01274,Les Neyrolles,01
233,7529,01275,Neyron,01
234,7581,01276,Niévroz,01
235,7621,01277,Nivollet-Montgriffon,01
236,7629,01279,Oncieu,01
237,7636,01280,Ordonnaz,01
238,7647,01281,Ornex,01
239,7693,01282,Outriaz,01
240,7713,01283,Oyonnax,01
241,7799,01284,Ozan,01
242,7824,01285,Parcieux,01
243,7868,01286,Parves et Nattages,01
244,7908,01288,Péron,01
245,7951,01289,Péronnas,01
246,8014,01290,Pérouges,01
247,8054,01291,Perrex,01
248,8085,01293,Peyriat,01
249,8107,01294,Peyrieu,01
250,8141,01295,Peyzieux-sur-Saône,01
251,8162,01296,Pirajoux,01
252,8180,01297,Pizay,01
253,8214,01298,Plagne,01
254,8227,01299,Le Plantay,01
255,8251,01301,Polliat,01
256,8301,01302,Pollieu,01
257,8314,01303,Poncin,01
258,8353,01304,Pont-d'Ain,01
259,8401,01305,Pont-de-Vaux,01
260,8441,01306,Pont-de-Veyle,01
261,8476,01307,Port,01
262,8506,01308,Pougny,01
263,8532,01309,Pouillat,01
264,8538,01310,Prémeyzel,01
265,8552,01311,Prémillieu,01
266,8554,01313,Prévessin-Moëns,01
267,8612,01314,Priay,01
268,8653,01317,Ramasse,01
269,8675,01318,Rancé,01
270,8707,01319,Relevant,01
271,8729,01320,Replonges,01
272,8779,01321,Revonnas,01
273,8821,01322,Reyrieux,01
274,8881,01323,Reyssouze,01
275,8912,01325,Rignieux-le-Franc,01
276,8950,01328,Romans,01
277,8974,01329,Rossillon,01
278,8986,01330,Ruffieu,01
279,8998,01331,Saint-Alban,01
280,9010,01332,Saint-André-de-Bâgé,01
281,9043,01333,Saint-André-de-Corcy,01
282,9101,01334,Saint-André-d'Huiriat,01
283,9131,01335,Saint-André-le-Bouchoux,01
284,9158,01336,Saint-André-sur-Vieux-Jonc,01
285,9190,01337,Saint-Bénigne,01
286,9216,01338,Groslée-Saint-Benoit,01
287,9245,01339,Saint-Bernard,01
288,9288,01342,Sainte-Croix,01
289,9320,01343,Saint-Cyr-sur-Menthon,01
290,9356,01344,Saint-Denis-lès-Bourg,01
291,9416,01345,Saint-Denis-en-Bugey,01
292,9460,01346,Saint-Didier-d'Aussiat,01
293,9489,01347,Saint-Didier-de-Formans,01
294,9544,01348,Saint-Didier-sur-Chalaronne,01
295,9587,01349,Saint-Éloi,01
296,9617,01350,Saint-Étienne-du-Bois,01
297,9666,01351,Saint-Étienne-sur-Chalaronne,01
298,9699,01352,Saint-Étienne-sur-Reyssouze,01
299,9715,01353,Sainte-Euphémie,01
300,9760,01354,Saint-Genis-Pouilly,01
301,9837,01355,Saint-Genis-sur-Menthon,01
302,9860,01356,Saint-Georges-sur-Renon,01
303,9877,01357,Saint-Germain-de-Joux,01
304,9894,01358,Saint-Germain-les-Paroisses,01
305,9917,01359,Saint-Germain-sur-Renon,01
306,9932,01360,Saint-Jean-de-Gonville,01
307,9971,01361,Saint-Jean-de-Niost,01
308,10015,01362,Saint-Jean-de-Thurigneux,01
309,10056,01363,Saint-Jean-le-Vieux,01
310,10097,01364,Saint-Jean-sur-Reyssouze,01
311,10122,01365,Saint-Jean-sur-Veyle,01
312,10154,01366,Sainte-Julie,01
313,10197,01367,Saint-Julien-sur-Reyssouze,01
314,10220,01368,Saint-Julien-sur-Veyle,01
315,10249,01369,Saint-Just,01
316,10290,01370,Saint-Laurent-sur-Saône,01
317,10334,01371,Saint-Marcel,01
318,10373,01372,Saint-Martin-de-Bavel,01
319,10401,01373,Saint-Martin-du-Frêne,01
320,10437,01374,Saint-Martin-du-Mont,01
321,10481,01375,Saint-Martin-le-Châtel,01
322,10509,01376,Saint-Maurice-de-Beynost,01
323,10553,01378,Saint-Maurice-de-Gourdans,01
324,10600,01379,Saint-Maurice-de-Rémens,01
325,10628,01380,Saint-Nizier-le-Bouchoux,01
326,10644,01381,Saint-Nizier-le-Désert,01
327,10677,01382,Sainte-Olive,01
328,10694,01383,Saint-Paul-de-Varax,01
329,10728,01384,Saint-Rambert-en-Bugey,01
330,10764,01385,Saint-Rémy,01
331,10803,01386,Saint-Sorlin-en-Bugey,01
332,10843,01387,Saint-Sulpice,01
333,10857,01388,Saint-Trivier-de-Courtes,01
334,10879,01389,Saint-Trivier-sur-Moignans,01
335,10918,01390,Saint-Vulbas,01
336,10953,01391,Salavre,01
337,10968,01392,Samognat,01
338,11000,01393,Sandrans,01
339,11026,01396,Sault-Brénaz,01
340,11054,01397,Sauverny,01
341,11087,01398,Savigneux,01
342,11124,01399,Ségny,01
343,11167,01400,Seillonnaz,01
344,11174,01401,Sergy,01
345,11210,01402,Sermoyer,01
346,11235,01403,Serrières-de-Briord,01
347,11267,01404,Serrières-sur-Ain,01
348,11277,01405,Servas,01
349,11303,01406,Servignat,01
350,11312,01407,Seyssel,01
351,11338,01408,Simandre-sur-Suran,01
352,11357,01410,Sonthonnax-la-Montagne,01
353,11377,01411,Souclin,01
354,11394,01412,Sulignat,01
355,11419,01415,Talissieu,01
356,11445,01416,Tenay,01
357,11465,01418,Thil,01
358,11507,01419,Thoiry,01
359,11562,01420,Thoissey,01
360,11594,01421,Torcieu,01
361,11621,01422,Tossiat,01
362,11660,01423,Toussieux,01
363,11700,01424,Tramoyes,01
364,11749,01425,La Tranclière,01
365,11765,01426,Val-Revermont,01
366,11816,01427,Trévoux,01
367,11879,01428,Valeins,01
368,11893,01429,Vandeins,01
369,11924,01430,Varambon,01
370,11959,01431,Vaux-en-Bugey,01
371,12004,01432,Verjon,01
372,12025,01433,Vernoux,01
373,12033,01434,Versailleux,01
374,12058,01435,Versonnex,01
375,12100,01436,Vesancy,01
376,12122,01437,Vescours,01
377,12134,01439,Vésines,01
378,12150,01441,Vieu-d'Izenave,01
379,12173,01443,Villars-les-Dombes,01
380,12223,01444,Villebois,01
381,12262,01445,Villemotier,01
382,12290,01446,Villeneuve,01
383,12334,01447,Villereversure,01
384,12369,01448,Villes,01
385,12389,01449,Villette-sur-Ain,01
386,12419,01450,Villieu-Loyes-Mollon,01
387,12471,01451,Viriat,01
388,12534,01452,Virieu-le-Grand,01
389,12559,01453,Arvière-en-Valromey,01
390,12582,01454,Virignin,01
391,12621,01456,Vongnes,01
392,12626,01457,Vonnas,01
393,12673,02001,Abbécourt,02
394,12694,02002,Achery,02
395,12713,02003,Acy,02
396,12747,02004,Agnicourt-et-Séchelles,02
397,12754,02005,Aguilcourt,02
398,12774,02006,Aisonville-et-Bernoville,02
399,12789,02007,Aizelles,02
400,12798,02008,Aizy-Jouy,02
401,12812,02009,Alaincourt,02
402,12828,02010,Allemant,02
403,12837,02011,Ambleny,02
404,12871,02012,Ambrief,02
405,12879,02013,Amifontaine,02
406,12896,02014,Amigny-Rouy,02
407,12916,02015,Ancienville,02
408,12924,02016,Andelain,02
409,12940,02017,Anguilcourt-le-Sart,02
410,12954,02018,Anizy-le-Grand,02
411,12989,02019,Annois,02
412,13007,02020,Any-Martin-Rieux,02
413,13027,02021,Archon,02
414,13033,02022,Arcy-Sainte-Restitue,02
415,13055,02023,Armentières-sur-Ourcq,02
416,13061,02024,Arrancy,02
417,13065,02025,Artemps,02
418,13083,02027,Assis-sur-Serre,02
419,13093,02028,Athies-sous-Laon,02
420,13130,02029,Attilly,02
421,13151,02030,Aubencheul-aux-Bois,02
422,13163,02031,Aubenton,02
423,13180,02032,Aubigny-aux-Kaisnes,02
424,13194,02033,Aubigny-en-Laonnois,02
425,13201,02034,Audignicourt,02
426,13207,02035,Audigny,02
427,13221,02036,Augy,02
428,13225,02037,Aulnois-sous-Laon,02
429,13256,02038,Les Autels,02
430,13257,02039,Autremencourt,02
431,13263,02040,Autreppes,02
432,13269,02041,Autreville,02
433,13295,02042,Azy-sur-Marne,02
434,13316,02043,Bagneux,02
435,13322,02044,Bancigny,02
436,13324,02046,Barenton-Bugny,02
437,13346,02047,Barenton-Cel,02
438,13351,02048,Barenton-sur-Serre,02
439,13365,02049,Barisis-aux-Bois,02
440,13394,02050,Barzy-en-Thiérache,02
441,13404,02051,Barzy-sur-Marne,02
442,13420,02052,Bassoles-Aulers,02
443,13428,02053,Vallées en Champagne,02
444,13445,02054,Bazoches-et-Saint-Thibaut,02
445,13463,02055,Beaumé,02
446,13468,02056,Beaumont-en-Beine,02
447,13481,02057,Beaurevoir,02
448,13503,02058,Beaurieux,02
449,13528,02059,Beautor,02
450,13557,02060,Beauvois-en-Vermandois,02
451,13570,02061,Becquigny,02
452,13578,02062,Belleau,02
453,13583,02063,Bellenglise,02
454,13600,02064,Belleu,02
455,13648,02065,Bellicourt,02
456,13671,02066,Benay,02
457,13681,02067,Bergues-sur-Sambre,02
458,13695,02068,Berlancourt,02
459,13702,02069,Berlise,02
460,13708,02070,Bernot,02
461,13730,02071,Berny-Rivière,02
462,13754,02072,Berrieux,02
463,13765,02073,Berry-au-Bac,02
464,13785,02074,Bertaucourt-Epourdon,02
465,13806,02075,Berthenicourt,02
466,13818,02076,Bertricourt,02
467,13833,02077,Berzy-le-Sec,02
468,13852,02078,Besmé,02
469,13862,02079,Besmont,02
470,13864,02080,Besny-et-Loizy,02
471,13885,02081,Béthancourt-en-Vaux,02
472,13905,02082,Beugneux,02
473,13911,02083,Beuvardes,02
474,13936,02084,Bézu-le-Guéry,02
475,13956,02085,Bézu-Saint-Germain,02
476,13990,02086,Bichancourt,02
477,14017,02087,Bieuxy,02
478,14019,02088,Bièvres,02
479,14028,02089,Billy-sur-Aisne,02
480,14060,02090,Billy-sur-Ourcq,02
481,14072,02091,Blanzy-lès-Fismes,02
482,14079,02093,Blérancourt,02
483,14108,02094,Blesmes,02
484,14126,02095,Bohain-en-Vermandois,02
485,14156,02096,Bois-lès-Pargny,02
486,14161,02097,Boncourt,02
487,14177,02098,Bonneil,02
488,14197,02099,Bonnesvalyn,02
489,14210,02100,Bony,02
490,14215,02101,Bosmont-sur-Serre,02
491,14222,02102,Bouconville-Vauclair,02
492,14237,02103,Boué,02
493,14255,02104,Bouffignereux,02
494,14263,02105,Bouresches,02
495,14275,02106,Bourg-et-Comin,02
496,14291,02107,Bourguignon-sous-Coucy,02
497,14295,02108,Bourguignon-sous-Montbavin,02
498,14306,02109,La Bouteille,02
499,14325,02110,Braine,02
500,14355,02111,Brancourt-en-Laonnois,02
501,14374,02112,Brancourt-le-Grand,02
502,14392,02114,Brasles,02
503,14427,02115,Braye-en-Laonnois,02
504,14437,02116,Braye-en-Thiérache,02
